,id,label,d2v
0,1,2,"[ 1.5894246   0.3204051   1.3085474  -0.56060946 -0.4705547  -0.23425873
 -0.4015271   1.1274701  -1.435891    0.50542986]"
1,2,3,"[-1.236178   -0.42732373  0.28516886  0.19125384 -0.42723927  0.9139231
  0.47524348  1.8617283  -1.561385   -0.58048946]"
2,3,2,"[ 0.7027333   0.30960304  0.99376535  1.1605831  -0.19065502  0.82590514
 -0.08392911  0.81917506 -0.31803173 -0.67153174]"
3,4,4,"[ 1.1397573   0.24102615  0.6016841   0.50283617  0.23982538  0.489828
 -0.56968164  1.3990566  -0.4424999  -0.55527186]"
4,5,4,"[ 0.12409688 -0.08075123  0.5415436   1.222665    0.4598181   0.33872673
  0.70637095  1.2609568  -0.46599364 -1.0387566 ]"
5,6,4,"[ 0.6845533   0.738646    1.5025685   1.6203219   0.532593    0.5848054
  0.26320997  0.71776676 -0.29920512 -0.33373904]"
6,7,4,"[ 0.99288267 -0.22209246  1.0562458   0.53258723  0.4513557   0.66741973
 -0.00809556  1.1461526  -0.47213024  0.01621024]"
7,9,2,"[ 1.0518854   1.0859447   0.62208676  0.38915476  0.07578824 -0.85391504
 -0.4739166   2.044456   -0.27534863  0.05081906]"
8,10,2,"[ 1.5205706  -0.05790604  0.39758828  0.19594648 -0.18321979 -0.41733113
 -0.6418724   1.9610066  -0.02018613  0.30294487]"
9,11,4,"[ 0.29946217  0.09005966  1.1785169   1.2889702   1.035774    0.6085655
 -0.00449301  0.48502576 -0.22977449 -1.182822  ]"
10,12,2,"[ 1.7736282  -0.87414384  1.4055538   0.5595849   0.29999292  0.45447952
  0.5728286  -0.14869565 -0.64429224 -0.7260475 ]"
11,13,2,"[ 0.5249607   0.55840456 -0.35722244  1.5733417   0.19579273  0.97740996
 -0.6528324   1.2813181  -0.12543243 -1.5118397 ]"
12,14,2,"[ 0.20697972  0.5038428   0.4921539   0.1332179  -0.23266858 -0.18918954
  0.3699377   1.981103    0.31987214 -0.74719566]"
13,15,2,"[ 0.31997362  0.289791    1.4060214   0.54492384 -0.5750792   0.5101541
  1.0976753   1.4413385  -0.86583847  0.30810124]"
14,16,3,"[ 0.44514638 -1.5313307  -0.17357033 -0.03506427 -1.1792094  -1.687208
  1.2978933   1.3714348  -1.107921   -0.39108792]"
15,17,4,"[ 2.3794062   0.57788     1.2906827  -0.8079987   0.56576276  0.64209306
 -0.03292382 -0.4358497  -0.4344158  -1.3782203 ]"
16,18,2,"[ 1.008165    0.49279353  0.50088227  0.20062438 -0.6384559  -0.4663071
 -0.720306    1.1954608  -0.9407349   0.04142354]"
17,19,3,"[ 1.4406505  -0.22248939  0.77266985  0.36731413  1.3595421   0.16299582
 -0.07086409  0.3842615   0.5174323  -0.15701237]"
18,20,4,"[ 1.0755029   1.4137244   1.0408057   1.3832768   1.6094604   0.6821247
  0.30356812 -0.01443209 -0.9205505  -0.17347124]"
19,21,3,"[-1.0863289   0.41681823  0.49106315  0.8628063   0.35275674  0.587301
  0.49436298  1.3509309  -1.21929    -0.39732343]"
20,22,2,"[ 0.0542001  -0.72132367  0.51974493  0.9487191   0.42534062  0.7652538
  0.7851822   1.3665855  -0.20729958 -1.6924677 ]"
21,23,3,"[ 0.24306385 -0.13445337  0.369235    1.2389867   0.69499224  0.47569412
 -0.06257029  0.5037095   0.17145687 -1.7312949 ]"
22,24,3,"[ 0.5925027  -0.78870845  0.06699876  0.0418573   0.6231618   0.13852823
  0.70899624  0.62862253 -0.7501456  -0.9485758 ]"
23,25,3,"[ 2.2796297   0.16622365  1.0386676   1.039116    1.3681972  -0.3939849
  0.37293172 -0.93338794 -0.85128045 -0.51416385]"
24,26,2,"[-0.33441693 -2.2743003  -0.18430515  0.39190271  0.38282007  0.54488474
 -0.23659268  2.4586165  -0.62999773 -1.6184143 ]"
25,27,1,"[-0.17429705 -0.06251829 -0.1509896   0.79890245 -0.35511982  0.4930346
  0.6680443   1.5085372  -0.936472   -0.8774584 ]"
26,28,3,"[-0.19819146  0.6919166   0.4699406   0.5149539   0.57067704  0.7972288
  0.4998556   1.3982184  -0.06810369 -1.0270452 ]"
27,29,3,"[-0.39152655  0.4889693   0.7670298  -1.1514127  -0.6327608   0.21218513
  0.22530667  2.2422116  -0.12512907 -1.0469264 ]"
28,30,3,"[ 0.19167364  0.07193524  0.9626109   0.2115315   0.4791777  -1.6979784
  0.97407776  1.1835725  -0.03159823 -0.57021177]"
29,31,2,"[ 1.217317   -0.34680256  0.14559868  1.1909873   0.86914766  0.4829309
  1.7767754  -0.4316175  -1.3428856  -1.2926494 ]"
30,32,2,"[ 0.69641036  0.23848376  0.5051033   1.255545   -0.12423103  0.4020236
  0.51990676  1.2945074  -0.5747976  -0.78921133]"
31,33,4,"[ 1.1428436   0.31507143  1.1726726   0.39827874  0.6908516   0.04849733
  0.4434153   0.45901304 -0.47298038 -0.13578692]"
32,34,4,"[ 2.0929484   0.06176674  1.3056833   0.6414616   0.21431947 -0.08487393
 -0.93864954 -0.23113436 -0.9904985   0.21120003]"
33,35,3,"[ 1.3391066  -0.25017926  1.3185002   1.2540487  -0.6729704   0.06654001
  0.31916496 -0.02997507 -1.1218857  -0.4336035 ]"
34,36,3,"[-0.37656093 -0.36702052  0.5114415   0.00278958  0.49966982  0.04516743
 -0.38226354  1.4083562  -0.9820234  -0.02015905]"
35,37,2,"[ 0.53227746 -0.49439275  1.109666    0.451429    0.2293146  -1.6968724
  0.48474607  1.6385043   0.4706033  -0.7966081 ]"
36,38,2,"[ 0.52689886 -0.19159421  0.4164571   0.8908886   0.3798144   0.16534469
  0.5192947   1.2484444  -0.53173774 -0.61781865]"
37,40,4,"[ 0.0948888   1.0273986   1.5126499   2.0548844   0.1742185  -0.03671541
  0.02380996  0.07877959  0.5656445  -0.863806  ]"
38,41,2,"[ 0.14273721 -0.2929279   0.79773504  0.8081747   0.9659568   0.82311726
  0.39436832  1.1540272  -0.15723634 -1.6003654 ]"
39,42,3,"[ 0.36963457 -0.5185946   0.46857834  0.6650833   0.48119986  0.22666448
 -0.25227574  1.2543434   0.27087533 -1.266059  ]"
40,43,2,"[ 1.3582556  -0.9740609   1.0057263   0.50310445  0.42691147  0.45358214
  0.36187795  1.0847818   0.96358377 -1.3014055 ]"
41,44,1,"[ 0.7501099   0.62370396  0.9697895   0.37678576 -0.70414454  0.30960563
  0.6152646   1.3795642  -0.10928304 -0.26894107]"
42,46,4,"[ 0.33748794  0.2931878   0.69918144  1.255132   -0.01004485  0.7400073
  0.03284038  1.4866141   0.3787892  -1.251139  ]"
43,47,2,"[ 2.1169884  -0.29716682  1.457039    0.8719375  -0.04975419 -2.3182337
  0.9687205   0.78378767  0.13155855 -0.2732181 ]"
44,48,3,"[ 0.5356116   0.41369626  0.21311443  1.0265678   0.24254276  0.56024843
 -0.2368465   0.72816324 -0.10307421 -1.8571143 ]"
45,49,3,"[ 0.4989891  -1.2258744   0.6786042  -0.18744129 -0.37404785  0.6700721
  0.47597724  1.4550861  -0.9403701  -1.0967487 ]"
46,50,2,"[ 0.34628302  0.7408812   0.5038064   0.90515816  0.85403085  0.49533463
  0.13462438  0.24348742 -0.6198971  -0.4244582 ]"
47,51,4,"[ 0.00733733 -1.1112167   1.0095978   1.0358652   0.1966164   0.53266436
  0.43011272  0.5177107  -0.51001704 -1.0092666 ]"
48,52,1,"[-0.03864403 -0.84080815  1.5386343   0.531451   -0.77586645  0.39915565
  0.73682946  1.167778   -1.213822   -0.21397917]"
49,53,3,"[-0.02767396  0.43325844  1.3299488   2.0925703  -0.01116827  0.07647784
  1.2289412  -0.76735866 -0.6950118  -1.6086494 ]"
50,54,2,"[ 0.38998857  0.02017405  0.73093885  0.5741174   0.21564445  0.5780632
  0.26141942  0.9705673  -0.26371327 -0.98516494]"
51,55,1,"[ 0.7144293   0.3111978   1.1008202   0.9006502  -0.21605125  0.5328037
  0.37030226  0.9155316  -0.41912976 -0.86473316]"
52,56,2,"[ 1.4329816  -0.25056118  0.54783165  0.4860943   0.2582719  -0.99177885
 -0.430108    1.4271269  -0.70537496 -0.30228236]"
53,57,3,"[ 0.716861    0.9993056   1.4247993   0.74933916  1.5860282  -0.30433038
  0.4340813   0.02510153  0.6223725  -1.5617466 ]"
54,58,2,"[ 1.8564149  -0.60309476  0.7434025  -0.38096634  0.49714476 -0.7246404
  0.64890915  1.6522493  -0.47398296  0.7061182 ]"
55,59,4,"[ 0.48170307 -0.813399    0.85099137  1.0782275   0.20867506 -0.04961235
  0.60872006  0.93729305 -0.21655062 -0.28958932]"
56,60,4,"[ 0.81379217  0.3515708   1.3929007   1.0855982   0.42367536  0.6398926
  0.0649377   1.0555954  -0.5213227  -0.06524814]"
57,61,3,"[ 0.82933867  0.09601625  1.1958412   0.87145    -0.6278906   0.351817
 -0.38668284  1.151953   -0.5710707  -0.04266781]"
58,62,4,"[ 0.89074236 -0.10028445  1.1751524   0.84897214 -0.43965182 -0.01688659
  0.44776815  0.7902703  -0.34367362 -0.68338335]"
59,63,3,"[-0.11745142  0.7761859   1.6953866   0.27879867 -0.20980297  1.1188239
  0.7615314   0.21390127 -1.1648601  -0.17369139]"
60,64,2,"[ 0.12418646 -0.44053826  0.13679925  0.9407082  -0.17884874  1.2866853
  1.0982134   1.5083761  -0.5676313  -1.0954732 ]"
61,66,3,"[ 0.6485721  -0.11444971  0.33561522 -0.2109384   0.03393514  0.40003374
 -0.1708972   0.5107787  -0.9667725  -1.2235756 ]"
62,67,4,"[ 0.27403635 -0.57242966 -0.2792966   1.8001381   0.99841714 -0.29702377
  1.0320897   0.6087866  -1.3191516  -0.62482566]"
63,68,1,"[ 0.12014227  0.09193584  2.0918362  -0.04114397  0.23338164  1.0321107
  0.553211    0.7674421  -1.1855658  -0.37902966]"
64,69,1,"[ 0.8628544  -0.31534106  1.3803239   1.100495   -0.5293787   0.82499224
  0.31449044  0.8510347  -0.7839422  -0.6064468 ]"
65,70,1,"[ 0.3353368  -1.2647893   1.3385763   1.2393531  -0.42163858 -0.04170653
  0.398218    1.2491397   0.37431306 -1.3818753 ]"
66,71,4,"[2.4022212  0.4714882  0.73550826 0.26288483 0.13220173 1.3451489
 0.81652874 0.4864472  0.06426073 0.5817428 ]"
67,72,2,"[ 1.4152157   0.6043426   0.29445922  0.38861662  0.7048993   0.06482627
 -0.7342951   0.46876168 -0.9910342  -0.1545631 ]"
68,74,2,"[ 0.99933016 -0.2622157   0.68206906  1.1555555   0.0115794   1.0215698
  0.92281723  0.52446073  0.01253619 -1.24072   ]"
69,75,2,"[ 0.4242237   0.59537095 -0.02529062  0.43663523  0.60419965 -0.056432
  0.17242426  0.8525244  -0.39204514 -0.1028199 ]"
70,76,3,"[-0.078082   -0.04326996  1.2690818   0.34759888 -0.21420923  0.67696387
  2.0700636   0.24803585 -1.0501934  -0.3045961 ]"
71,77,4,"[ 0.5187155  -0.11323193  0.29941177  0.22782578  0.8593589   0.17744322
  0.7934253   1.1501145  -0.21403114 -0.4754345 ]"
72,78,4,"[ 0.38803962  0.34090945  1.210577    1.441713    0.73754525  0.4060473
  0.63434404  0.40413293 -0.5339637   0.11321828]"
73,79,1,"[ 1.0469829  -0.39926824  1.3698362   0.6669485  -1.5348004  -0.11704389
  0.80192417  0.44091266  0.01073084 -1.2960459 ]"
74,80,2,"[ 1.7472192   0.00421639  0.7081981   0.7704994  -0.25354138  0.6149495
  0.09721223  0.4200708  -0.7399032  -1.0667247 ]"
75,81,2,"[ 1.0167667   0.1822179   0.7700768   1.1542239  -0.37431648  0.728477
  0.3792575   1.1289996  -0.5182606  -0.7554611 ]"
76,82,4,"[ 0.32623637 -0.04366951  0.01799406  1.5044783   1.0364228   0.6173416
 -0.2289975   0.12246295 -0.6481311  -1.6366558 ]"
77,83,2,"[ 1.4349118   0.24312025  0.54491806  0.3717618  -0.48328367 -1.4312165
 -0.7625882   1.1887168  -1.1617196  -0.24893226]"
78,84,2,"[ 0.68899906 -0.58391315  0.08724951  0.98231524  0.838492   -0.41971213
 -0.20315354  1.2954563  -0.2758551  -1.0298706 ]"
79,85,2,"[ 0.20167519 -0.6404106   0.4896449   0.491275   -0.02729844  1.1791121
  0.81558615  0.40720502 -0.582139   -0.6707866 ]"
80,86,3,"[ 0.15905775  0.16517264  0.5447235   1.1450567  -0.33664045  0.81363183
  0.85774803  0.4785188  -0.92294514 -0.76673967]"
81,87,2,"[ 0.6948046   0.375377    1.2202942   0.646108   -0.12596115  0.6094983
  0.16462289  1.2196177  -0.28310385 -0.43123996]"
82,88,2,"[ 0.4317772   0.25720692  0.52378184  0.9263351   0.5764824  -0.21495907
  0.5849963   1.1066089  -0.08551331 -0.5678483 ]"
83,89,4,"[-0.11810204  0.11580548  1.1576554  -0.16848482 -0.5914068   1.0406039
 -0.6587981   1.5550495  -1.5144476  -0.1173487 ]"
84,90,2,"[ 0.49343908  0.14294203  0.09943457  0.4527503   0.5907209  -0.45574605
 -0.02139232  1.2471     -0.24347004 -0.68981886]"
85,91,3,"[ 0.6674037   0.92698026  1.1955216   1.5838798   0.42777362  0.7190215
  0.51394117 -0.12721545 -0.8651635  -1.4489405 ]"
86,92,3,"[ 0.03490857  0.6536731   1.0164129   0.6110621  -0.1924138   0.48369235
 -0.37680474  0.9531633  -1.0594954  -0.9445673 ]"
87,93,4,"[-0.5686872   0.49206242  1.1945273   1.2432976   0.46509576  1.0089871
  0.6899149  -0.11669792 -1.260367   -0.5464385 ]"
88,94,2,"[ 1.6043669   0.56880426  1.0881468  -0.58702016 -0.5705346  -0.46880695
 -0.42219764  0.9736522  -1.4950242   0.5589014 ]"
89,95,4,"[ 0.35974067  0.0779032   0.69671845  1.14734     0.11757539  0.68277764
  0.70064795  1.3061401   0.08161654 -0.76414776]"
90,96,1,"[-0.35063854 -0.70869875  0.315268    0.64305043  1.1738617   0.7266289
  0.2948967   0.8058793  -0.16362455 -1.6107138 ]"
91,97,4,"[ 0.2327502  -0.42698714  0.44967508  0.589709   -0.46019933  0.5810514
 -0.94798696  0.63379365 -1.2552886  -1.3661246 ]"
92,98,2,"[ 2.789077   -1.0219765   0.7692342   0.97493076  0.21597806 -1.5318928
  0.52329445  0.7297194  -0.5520426  -0.50689113]"
93,99,1,"[ 1.2493964  -0.33348972  1.2455988   0.43834    -0.3985271   0.26656452
 -0.23534992  1.2021569  -0.7280404  -0.06856354]"
94,100,2,"[ 0.60737526  0.05191501  0.95654273  1.4237481  -0.4525258   0.96428734
  0.24807985  1.6092684  -0.42691642 -0.9915212 ]"
95,101,1,"[-0.49327597 -0.18972339  1.6633353   0.8562812   0.3418843   1.8837534
  0.07188475  0.90707874 -0.22217655 -0.43430308]"
96,102,3,"[ 0.11903328 -0.8736965   0.3773057   1.3560969   0.39722887  0.5956607
  0.77415323  1.0799464  -0.10217988 -1.6540307 ]"
97,103,4,"[ 0.50104135  0.63135207  0.41863564  0.6506506   0.80446476  0.06516143
  1.0948921   1.5487665  -0.08940297 -0.94491535]"
98,104,2,"[ 0.32648703 -0.32201397  0.20455544  0.69188154  0.7332974   0.7966146
  0.83891207  2.041418   -0.54777175 -1.3521892 ]"
99,105,3,"[-0.9998255  -1.7038355   1.1932915   0.05789031 -0.13572718  0.38617384
  1.1217028   1.0213579  -1.5537057  -0.87707317]"
100,106,4,"[ 0.7347438   0.6493343   0.4337924   0.35666552  0.17078227  1.1650845
 -0.68723595  1.4696583  -0.26197335 -0.6876606 ]"
101,107,3,"[-0.4715783  -0.20095839  1.4363039   0.36429828 -0.6781653   0.10061576
  0.93614274  0.9504868  -0.5697126  -0.10507637]"
102,108,4,"[ 1.1302855   0.01662921  1.468591   -0.31775844  0.94535965  0.6112124
  0.27116278  0.6611177   0.27470627  0.00203017]"
103,109,4,"[ 0.47437355  0.41484687  1.8549234   0.9656086   0.8629253   0.8329554
  0.03552208  0.5044064   0.12887774 -0.65129465]"
104,110,2,"[ 1.9880817   0.1969971   0.2768324   0.43760008 -0.27050877 -0.7419757
 -0.5504335   0.38237914 -0.5906424  -0.8419885 ]"
105,111,1,"[-0.08410986 -1.1807194   0.08117079  1.1272885  -0.83349174 -0.8706178
  1.3498312   1.0704374  -0.27332553 -0.9715734 ]"
106,112,2,"[ 0.97341937  0.17804736  1.4281886  -0.63282865  0.06752323  0.1356896
  1.0271996   0.7094444  -0.03413921 -0.17202479]"
107,113,4,"[ 0.13641204  0.4252273   0.60286456  1.0004121   0.16493684  1.6896477
 -0.2220401   0.94931525  0.6401456  -1.4953636 ]"
108,114,4,"[ 1.113898    1.1006722   1.3398634   0.18992688 -0.8845603   0.74639046
 -0.45075446  1.0337635  -1.5861418   0.16530466]"
109,115,3,"[ 1.8727401  -0.45318604 -0.49458343  1.4448166  -0.10756959 -0.7165813
  2.4612184   1.0136299  -1.3834724   0.0151916 ]"
110,116,4,"[ 3.3563954e-01  7.9299100e-02  1.8257461e+00  1.1562611e+00
 -1.1329576e-01 -1.4176805e-03  1.3942407e+00  2.4920231e-01
 -1.1211379e-01 -6.2119579e-01]"
111,117,1,"[ 0.5487561  -0.03844735  0.8193483   0.06039886  0.14922437 -1.0985329
  0.55086106  1.6709586   0.05309526 -1.1430402 ]"
112,118,4,"[-1.2642089  -0.59674656  1.3951533   1.9663143   0.318031    0.2688228
  0.31678113  1.0377353  -0.1580343   0.42877588]"
113,119,1,"[-0.4646456   0.3117835   1.9174601   0.43321553 -0.4880763   0.9882398
  1.5672569   0.23533452 -2.0652223  -0.4767282 ]"
114,120,2,"[ 0.23431177 -0.7290927   0.65269035  0.82951415 -0.07713208  1.480438
  0.6900972   1.5111456   0.4311096  -1.4901475 ]"
115,121,2,"[ 0.5488911  -1.8539433   1.622984   -0.45965376 -0.17443565  0.18111776
  0.268035    1.3124517  -0.6211052   0.10753131]"
116,122,2,"[-0.43746895 -0.12727416  0.3655325   0.9425218  -0.04866353  0.21094984
  0.4127685   1.3767291  -0.5274178  -1.151919  ]"
117,123,2,"[ 1.0122852   1.2575866   1.3089299   1.0346648   0.9545117   0.03810261
  0.40410474  0.6159772   0.4838437  -0.48941246]"
118,124,3,"[-1.8893901  -3.00749    -0.17653021  0.87854195  0.28501526 -0.37545907
  0.5549821   2.3533862  -0.9779359  -0.80449855]"
119,125,3,"[-0.37780738 -0.87931484  0.8749505  -0.04971284 -0.3495772   0.31183276
  1.9450403   0.75205314 -0.44728532 -1.1210016 ]"
120,126,3,"[-0.07829498 -0.53794354  1.2085042  -0.16477908 -1.2403462  -0.30706507
  0.8672544   1.2927324  -1.1540312  -0.334401  ]"
121,127,3,"[ 0.77513826 -0.6315037   0.69488126 -0.36848012 -0.14283344 -0.11649954
  0.37244475  1.6083047  -0.41635326 -0.89240426]"
122,128,3,"[ 0.5935871  -0.27421027  0.37870693  0.7315837  -0.71830153  0.5175003
  0.14347753  0.60411435 -0.73538303 -1.5188576 ]"
123,129,4,"[ 1.5875849   0.22415581  1.1279908   0.76037383  0.5630745  -0.28232026
  0.54595226  0.3157171   0.6096592  -0.8476985 ]"
124,130,2,"[ 1.820953    0.45232373  0.92077583 -0.5774739  -0.9148678  -0.15300134
 -0.7337811   1.5031365  -1.5113989   0.8143775 ]"
125,131,3,"[ 0.5294453  -0.08004704  0.19046076  0.9962566  -0.37518376 -1.1669722
 -0.84577537  1.3790455  -0.6558312  -1.4025534 ]"
126,132,3,"[ 0.47496834  1.7408131  -0.08564579  0.8497598   0.15532047 -1.2828213
 -0.5257646   1.417891   -0.56635827 -1.548577  ]"
127,133,2,"[-0.16691418 -0.01180198  0.35440645 -0.67233574  0.44257125  0.08513831
  0.12717375  1.930794   -0.05494788 -1.2350848 ]"
128,134,3,"[-0.24686344 -1.8928505   0.30560493  1.0444272  -1.5037656  -0.32461944
  0.2815345   1.8576556  -0.42710814 -1.6716062 ]"
129,135,3,"[ 0.6751175   1.2074465   0.14722055  0.83810824  1.295964    0.5046182
 -0.03324648  0.34952757 -0.6500336  -1.5267354 ]"
130,136,2,"[ 0.71597373 -0.8278552   0.57677567  1.1098192   0.9920318   0.55633634
  0.6230461   0.67129374  0.07143033 -1.5266441 ]"
131,137,2,"[ 0.34015036  0.3727973   0.1980723   0.7315084   0.6157555   0.13953815
  0.87530583  1.1523222  -0.93637925  0.07648779]"
132,138,4,"[ 0.07848654 -0.07386929  1.5443783   0.9840262   0.5097024   0.80515903
 -0.03446653  1.0030912  -0.03127472 -0.1651864 ]"
133,139,3,"[ 0.26528835 -0.7425991   1.5415878   0.47667634 -1.239302   -0.54484844
  1.0971802   1.3949441   0.08843672  0.01585915]"
134,140,1,"[ 0.8525646   0.11691339  0.07313181  1.9047536   0.03713378 -1.3941156
 -0.5804382   0.8280388  -0.4731587  -1.774986  ]"
135,141,1,"[ 0.40792122  0.47811538 -0.80929106  1.8151591   1.536318   -0.39747974
  0.8040067  -0.33753768 -1.3762188  -1.529385  ]"
136,142,3,"[ 0.5236304  -0.82621694  0.85157055  0.66462594 -0.5412667   0.6457675
  0.9156595   0.87079436 -0.88986033 -2.0472791 ]"
137,143,2,"[ 0.3287294  -0.24154863  0.5053577  -0.20535706  0.44039977  0.66111743
  0.08067425  1.6144403  -0.05135736 -1.4820963 ]"
138,144,4,"[-0.36095634 -0.04614066  1.6555551   1.9602251  -1.2297091   0.15905246
  0.68854326  0.78306305 -0.8305384   0.22518149]"
139,145,4,"[ 1.4731059e+00  2.0432948e-01  9.7063333e-01  1.8433011e+00
 -2.6682952e-01 -7.1984611e-02 -7.1399015e-01  1.5822163e+00
 -8.1161603e-02  8.1258302e-04]"
140,146,4,"[-0.2584228  -1.3760161   0.76073664 -0.63343984 -0.09843886  0.47326612
  1.503531    0.16472818 -1.2752646   0.25549564]"
141,147,2,"[ 0.04132695 -0.52103865  0.64377713  1.1569707   0.6151137   0.7980376
  0.25189048  1.0233629   0.27211308 -1.3258684 ]"
142,148,2,"[-0.07210987  0.12355191  0.99574274  2.3449147  -0.24968275  0.33944368
  0.7311749   0.5241299  -0.16802928 -0.77422446]"
143,149,3,"[ 0.18978883  0.29972905  1.0560839   0.35495332  0.28420568  0.8468233
 -0.27281067  0.7202284  -0.76483583 -0.8220846 ]"
144,150,3,"[ 0.06422313 -0.46973512  0.31957915  0.76413596  0.78121537 -0.24424042
  0.48907912  1.1294167  -0.5397278   0.09078208]"
145,151,1,"[ 1.0541424   0.01630891  1.2007598   0.98209906 -0.26937264  0.8321108
  0.47444516  1.1121823  -0.99734527 -0.53138924]"
146,152,1,"[ 2.0379782  -1.5784167   1.4042886  -0.14875133 -1.008218   -1.0509936
  0.5594929   0.8606341  -0.4251148   0.7461509 ]"
147,153,1,"[ 2.7390845  -0.68872625  1.5884529  -2.1244025   0.7097039   0.48694444
  0.5708866   0.5427418  -0.41890907  0.313097  ]"
148,154,2,"[ 2.374756   -0.93646884  1.1122078   0.6278583   0.10972164 -0.79750323
  1.0546495   0.762197    0.26191816  0.10336062]"
149,155,4,"[-0.2796615   1.1935173   0.21046597  0.8634946  -0.16902839  1.203887
  0.58564633  0.10697763 -1.3934401  -1.9517056 ]"
150,156,4,"[ 1.2031626   0.13660555  1.2360991   0.88013995  0.5374736   0.62145305
  0.36054417  0.29282126 -0.62057334 -0.145017  ]"
151,157,2,"[ 0.6017198  -1.1666785   0.31055358 -0.01985315  0.632352   -0.22836985
  0.9453914   2.2830458  -0.05030589 -0.22795528]"
152,158,3,"[-0.4633229   0.24272476  0.22227876  0.8824564  -1.1530653  -0.14359063
  1.0484275   1.1815645  -0.8526183  -0.33853176]"
153,159,2,"[ 0.7690329   0.569167    0.24358472  0.41712734  0.59907377 -0.63517535
  0.42600054  1.0410227  -0.17478625 -0.02971399]"
154,160,2,"[ 0.49670318  0.16187838  0.7957124   0.05453181  0.16883649  0.90983224
  0.12690897  0.55972356 -0.83890235 -1.6590353 ]"
155,161,1,"[-0.0583538   0.3467932   2.8435936   0.69435716  0.5527923   1.0263379
  1.3900431   0.17311329 -0.12844121  0.46769384]"
156,162,4,"[ 0.4082557  -0.03603231  1.2974517   0.83790183 -0.1416015   0.41452348
  0.13806611  1.3981929  -0.6660911  -0.29485193]"
157,163,2,"[ 1.1126224   0.64995253  1.2913908   1.6888357   0.55701834 -0.57185704
 -0.39198017 -0.12442188  0.51056916 -0.5977807 ]"
158,164,3,"[ 3.7604791e-01  1.4778146e+00  1.2938248e+00 -3.8418462e-04
 -1.0968195e+00  1.6404963e+00  2.1638019e-01  3.8024151e-01
 -1.7202123e+00 -6.8238783e-01]"
159,166,2,"[ 0.68169916  0.2750284   1.2387323   0.5146336  -0.2577628   0.20148927
  0.5801979   1.2606844  -1.4780374  -0.11618108]"
160,167,2,"[ 0.83589494  0.55496395  1.1780432  -0.06187192  0.21244837 -0.07265928
  0.8341705   0.95778114 -0.18224709  0.13805692]"
161,168,3,"[-0.5038605   0.70708483  0.94738555  1.432597    0.02941928 -0.8259418
  0.31898773  0.08545934 -0.6577773  -1.0778061 ]"
